Timestamp,Egg ID,Type,Position,Size,Area,Aspect Ratio,Roundness
2025-03-19 10:00:04,14,Good Egg,"(14, 53)","(56, 53)",2035.5,1.0566037735849056,0.651632735521951
2025-03-19 10:00:04,12,Good Egg,"(514, 323)","(39, 23)",627.0,1.6956521739130435,0.7510235184816354
2025-03-19 10:00:04,17,Bad Egg,"(244, 303)","(235, 47)",813.5,5.0,0.009047889657462508
2025-03-19 10:00:04,14,Good Egg,"(13, 53)","(57, 53)",2067.5,1.0754716981132075,0.6811874301026828
2025-03-19 10:00:04,12,Good Egg,"(514, 323)","(39, 23)",645.0,1.6956521739130435,0.7316198595931814
2025-03-19 10:00:04,17,Bad Egg,"(244, 300)","(235, 50)",790.5,4.7,0.008283536724458586
2025-03-19 10:00:04,14,Good Egg,"(13, 53)","(57, 53)",2017.5,1.0754716981132075,0.6436388668306797
2025-03-19 10:00:04,12,Bad Egg,"(475, 337)","(94, 75)",2420.0,1.2533333333333334,0.40780368350993035
2025-03-19 10:00:04,12,Good Egg,"(513, 324)","(39, 23)",653.5,1.6956521739130435,0.7446908265480056
2025-03-19 10:00:04,12,Good Egg,"(513, 324)","(39, 23)",655.5,1.6956521739130435,0.6725587471452794
2025-03-19 10:00:04,12,Bad Egg,"(475, 338)","(93, 74)",2368.5,1.2567567567567568,0.3950231407464131
2025-03-19 10:00:04,18,Bad Egg,"(9, 183)","(43, 48)",561.5,0.8958333333333334,0.1479169436450029
2025-03-19 10:00:04,19,Good Egg,"(12, 58)","(57, 48)",1788.0,1.1875,0.3982054046035576
2025-03-19 10:00:04,12,Good Egg,"(513, 325)","(39, 23)",676.0,1.6956521739130435,0.791505605519834
2025-03-19 10:00:04,20,Bad Egg,"(395, 308)","(83, 29)",1273.5,2.8620689655172415,0.27994078786377186
2025-03-19 10:00:04,19,Good Egg,"(13, 56)","(56, 50)",1786.0,1.12,0.40859818113442936
2025-03-19 10:00:04,21,Bad Egg,"(244, 305)","(235, 46)",2804.5,5.108695652173913,0.05163243638562358
2025-03-19 10:00:04,22,Bad Egg,"(457, 338)","(113, 75)",2381.0,1.5066666666666666,0.09164499590061809
2025-03-19 10:00:04,23,Good Egg,"(514, 325)","(40, 24)",711.5,1.6666666666666667,0.780761233298718
2025-03-19 10:00:04,21,Good Egg,"(245, 319)","(141, 31)",2706.5,4.548387096774194,0.32846953161800785
2025-03-19 10:00:04,24,Bad Egg,"(395, 308)","(84, 29)",1295.0,2.896551724137931,0.30535799418897197
2025-03-19 10:00:04,25,Good Egg,"(14, 53)","(58, 52)",1763.0,1.1153846153846154,0.35206611629008805
2025-03-19 10:00:04,23,Good Egg,"(515, 325)","(40, 24)",684.0,1.6666666666666667,0.7471920197517283
2025-03-19 10:00:04,26,Bad Egg,"(458, 338)","(113, 75)",2353.5,1.5066666666666666,0.11956612323752978
